Codi Municipi Edats Homes Dones Total
250019 Abella-de-la-Conca 1 0 1 1
250019 Abella-de-la-Conca 2 1 1 2
250019 Abella-de-la-Conca 3 0 0 0
250019 Abella-de-la-Conca 4 3 0 3
250019 Abella-de-la-Conca 5 2 1 3
250019 Abella-de-la-Conca 6 0 0 0
250019 Abella-de-la-Conca 7 1 0 1
250019 Abella-de-la-Conca 8 0 0 0
250019 Abella-de-la-Conca 9 0 0 0
250019 Abella-de-la-Conca 10 0 1 1
250019 Abella-de-la-Conca 11 1 1 2
250019 Abella-de-la-Conca 12 0 2 2
250019 Abella-de-la-Conca 13 1 0 1
250019 Abella-de-la-Conca 14 0 1 1
250019 Abella-de-la-Conca 15 3 0 3
250019 Abella-de-la-Conca 16 1 1 2
250019 Abella-de-la-Conca 17 0 3 3
250019 Abella-de-la-Conca 18 1 2 3
250019 Abella-de-la-Conca 19 0 1 1
250019 Abella-de-la-Conca 20 1 0 1
250019 Abella-de-la-Conca 21 2 1 3
250019 Abella-de-la-Conca 22 0 0 0
250019 Abella-de-la-Conca 23 1 0 1
250019 Abella-de-la-Conca 24 1 1 2
250019 Abella-de-la-Conca 25 1 1 2
250019 Abella-de-la-Conca 26 2 1 3
250019 Abella-de-la-Conca 27 1 1 2
250019 Abella-de-la-Conca 28 0 1 1
250019 Abella-de-la-Conca 29 0 0 0
250019 Abella-de-la-Conca 30 1 1 2
250019 Abella-de-la-Conca 31 3 0 3
250019 Abella-de-la-Conca 32 0 0 0
250019 Abella-de-la-Conca 33 1 1 2
250019 Abella-de-la-Conca 34 0 0 0
250019 Abella-de-la-Conca 35 1 2 3
250019 Abella-de-la-Conca 36 2 1 3
250019 Abella-de-la-Conca 37 1 1 2
250019 Abella-de-la-Conca 38 2 0 2
250019 Abella-de-la-Conca 39 1 2 3
250019 Abella-de-la-Conca 40 2 0 2
250019 Abella-de-la-Conca 41 3 2 5
250019 Abella-de-la-Conca 42 2 0 2
250019 Abella-de-la-Conca 43 1 4 5
250019 Abella-de-la-Conca 44 2 3 5
250019 Abella-de-la-Conca 45 0 1 1
250019 Abella-de-la-Conca 46 3 2 5
250019 Abella-de-la-Conca 47 1 1 2
250019 Abella-de-la-Conca 48 1 0 1
250019 Abella-de-la-Conca 49 1 2 3
250019 Abella-de-la-Conca 50 2 1 3
250019 Abella-de-la-Conca 51 2 1 3
250019 Abella-de-la-Conca 52 2 2 4
250019 Abella-de-la-Conca 53 3 0 3
250019 Abella-de-la-Conca 54 2 0 2
250019 Abella-de-la-Conca 55 2 1 3
250019 Abella-de-la-Conca 56 0 1 1
250019 Abella-de-la-Conca 57 2 2 4
250019 Abella-de-la-Conca 58 0 0 0
250019 Abella-de-la-Conca 59 1 0 1
250019 Abella-de-la-Conca 60 4 2 6
250019 Abella-de-la-Conca 61 2 1 3
250019 Abella-de-la-Conca 62 1 4 5
250019 Abella-de-la-Conca 63 1 0 1
250019 Abella-de-la-Conca 64 0 0 0
250019 Abella-de-la-Conca 65 2 1 3
250019 Abella-de-la-Conca 66 0 2 2
250019 Abella-de-la-Conca 67 2 0 2
250019 Abella-de-la-Conca 68 2 1 3
250019 Abella-de-la-Conca 69 0 2 2
250019 Abella-de-la-Conca 70 2 1 3
250019 Abella-de-la-Conca 71 2 0 2
250019 Abella-de-la-Conca 72 1 2 3
250019 Abella-de-la-Conca 73 1 0 1
250019 Abella-de-la-Conca 74 0 1 1
250019 Abella-de-la-Conca 75 1 2 3
250019 Abella-de-la-Conca 76 0 0 0
250019 Abella-de-la-Conca 77 0 1 1
250019 Abella-de-la-Conca 78 1 1 2
250019 Abella-de-la-Conca 79 1 1 2
250019 Abella-de-la-Conca 80 0 2 2
250019 Abella-de-la-Conca 81 3 1 4
250019 Abella-de-la-Conca 82 1 0 1
250019 Abella-de-la-Conca 83 2 0 2
250019 Abella-de-la-Conca 84 1 0 1
250019 Abella-de-la-Conca 85 1 2 3
250019 Abella-de-la-Conca 86 2 1 3
250019 Abella-de-la-Conca 87 0 0 0
250019 Abella-de-la-Conca 88 0 0 0
250019 Abella-de-la-Conca 89 0 1 1
250019 Abella-de-la-Conca 90 0 0 0
250019 Abella-de-la-Conca 91 1 0 1
250019 Abella-de-la-Conca 92 1 0 1
250019 Abella-de-la-Conca 93 0 0 0
250019 Abella-de-la-Conca 94 0 0 0
250019 Abella-de-la-Conca 95 0 0 0
250019 Abella-de-la-Conca 96 0 0 0
250019 Abella-de-la-Conca 97 0 1 1
250019 Abella-de-la-Conca 98 0 0 0
250019 Abella-de-la-Conca 99 0 0 0
250019 Abella-de-la-Conca 100 0 0 0
80018 Abrera 0 69 61 130
80018 Abrera 1 58 63 121
80018 Abrera 2 79 64 143
80018 Abrera 3 73 56 129
80018 Abrera 4 84 68 152
80018 Abrera 5 92 74 166
80018 Abrera 6 79 108 187
80018 Abrera 7 85 68 153
80018 Abrera 8 85 86 171
80018 Abrera 9 83 94 177
80018 Abrera 10 96 79 175
80018 Abrera 11 97 77 174
80018 Abrera 12 94 72 166
80018 Abrera 13 69 76 145
80018 Abrera 14 75 75 150
80018 Abrera 15 71 64 135
80018 Abrera 16 65 68 133
80018 Abrera 17 63 53 116
80018 Abrera 18 73 50 123
80018 Abrera 19 68 51 119
80018 Abrera 20 55 40 95
80018 Abrera 21 49 56 105
80018 Abrera 22 37 55 92
80018 Abrera 23 50 45 95
80018 Abrera 24 54 50 104
80018 Abrera 25 55 59 114
80018 Abrera 26 76 43 119
80018 Abrera 27 62 56 118
80018 Abrera 28 50 67 117
80018 Abrera 29 60 63 123
80018 Abrera 30 70 68 138
80018 Abrera 31 66 76 142
80018 Abrera 32 67 78 145
80018 Abrera 33 87 81 168
80018 Abrera 34 96 98 194
80018 Abrera 35 95 98 193
80018 Abrera 36 105 95 200
80018 Abrera 37 112 106 218
80018 Abrera 38 114 143 257
80018 Abrera 39 138 116 254
80018 Abrera 40 148 148 296
80018 Abrera 41 132 120 252
80018 Abrera 42 152 139 291
80018 Abrera 43 148 129 277
80018 Abrera 44 141 124 265
80018 Abrera 45 154 105 259
80018 Abrera 46 117 99 216
80018 Abrera 47 94 108 202
80018 Abrera 48 136 103 239
80018 Abrera 49 101 99 200
80018 Abrera 50 110 97 207
80018 Abrera 51 91 91 182
80018 Abrera 52 89 92 181
80018 Abrera 53 92 51 143
80018 Abrera 54 68 53 121
80018 Abrera 55 77 64 141
80018 Abrera 56 84 66 150
80018 Abrera 57 64 76 140
80018 Abrera 58 75 79 154
80018 Abrera 59 44 72 116
80018 Abrera 60 48 71 119
80018 Abrera 61 71 51 122
80018 Abrera 62 51 64 115
80018 Abrera 63 60 59 119
80018 Abrera 64 53 48 101
80018 Abrera 65 50 59 109
80018 Abrera 66 43 49 92
80018 Abrera 67 50 71 121
80018 Abrera 68 57 67 124
80018 Abrera 69 41 71 112
80018 Abrera 70 52 47 99
80018 Abrera 71 62 55 117
80018 Abrera 72 51 55 106
80018 Abrera 73 52 63 115
80018 Abrera 74 50 35 85
80018 Abrera 75 43 53 96
80018 Abrera 76 47 41 88
80018 Abrera 77 25 21 46
80018 Abrera 78 20 31 51
80018 Abrera 79 25 26 51
80018 Abrera 80 25 24 49
80018 Abrera 81 26 27 53
80018 Abrera 82 18 21 39
80018 Abrera 83 17 21 38
80018 Abrera 84 17 10 27
80018 Abrera 85 13 24 37
80018 Abrera 86 11 15 26
80018 Abrera 87 8 21 29
80018 Abrera 88 8 20 28
80018 Abrera 89 3 10 13
80018 Abrera 90 2 8 10
80018 Abrera 91 2 1 3
80018 Abrera 92 2 8 10
80018 Abrera 93 3 8 11
80018 Abrera 94 0 3 3
80018 Abrera 95 1 1 2
80018 Abrera 96 1 3 4
80018 Abrera 97 0 0 0
80018 Abrera 98 1 1 2
80018 Abrera 99 1 1 2
80018 Abrera 100 0 1 1
250024 Àger 0 1 2 3
250024 Àger 1 1 0 1
250024 Àger 2 2 0 2
250024 Àger 3 1 3 4
250024 Àger 4 2 3 5
250024 Àger 5 3 3 6
250024 Àger 6 2 1 3
250024 Àger 7 3 0 3
250024 Àger 8 3 1 4
250024 Àger 9 2 1 3
250024 Àger 10 1 2 3
250024 Àger 11 0 4 4
250024 Àger 12 2 1 3
250024 Àger 13 4 1 5
250024 Àger 14 0 0 0
250024 Àger 15 2 0 2
250024 Àger 16 2 0 2
250024 Àger 17 6 1 7
250024 Àger 18 3 2 5
250024 Àger 19 2 0 2
250024 Àger 20 1 0 1
250024 Àger 21 2 4 6
250024 Àger 22 2 5 7
250024 Àger 23 0 4 4
250024 Àger 24 4 1 5
250024 Àger 25 1 1 2
250024 Àger 26 3 5 8
250024 Àger 27 2 4 6
250024 Àger 28 1 3 4
250024 Àger 29 3 5 8
250024 Àger 30 3 3 6
250024 Àger 31 4 1 5
250024 Àger 32 4 1 5
250024 Àger 33 2 3 5
250024 Àger 34 1 3 4
250024 Àger 35 5 3 8
250024 Àger 36 8 1 9
250024 Àger 37 4 2 6
250024 Àger 38 5 6 11
250024 Àger 39 5 2 7
250024 Àger 40 6 3 9
250024 Àger 41 5 2 7
250024 Àger 42 3 4 7
250024 Àger 43 3 3 6
250024 Àger 44 3 4 7
250024 Àger 45 5 2 7
250024 Àger 46 4 3 7
250024 Àger 47 2 4 6
250024 Àger 48 9 6 15
250024 Àger 49 1 3 4
250024 Àger 50 7 7 14
250024 Àger 51 7 5 12
250024 Àger 52 6 3 9
250024 Àger 53 5 7 12
250024 Àger 54 6 3 9
250024 Àger 55 8 4 12
250024 Àger 56 5 6 11
250024 Àger 57 5 3 8
250024 Àger 58 9 6 15
250024 Àger 59 4 0 4
250024 Àger 60 3 3 6
250024 Àger 61 4 4 8
250024 Àger 62 4 2 6
250024 Àger 63 6 5 11
250024 Àger 64 5 3 8
250024 Àger 65 4 1 5
250024 Àger 66 7 5 12
250024 Àger 67 7 0 7
250024 Àger 68 8 3 11
250024 Àger 69 2 1 3
250024 Àger 70 3 5 8
250024 Àger 71 3 5 8
250024 Àger 72 1 7 8
250024 Àger 73 2 5 7
250024 Àger 74 2 2 4
250024 Àger 75 6 4 10
250024 Àger 76 2 2 4
250024 Àger 77 2 1 3
250024 Àger 78 1 1 2
250024 Àger 79 3 1 4
250024 Àger 80 3 7 10
250024 Àger 81 5 3 8
250024 Àger 82 6 5 11
250024 Àger 83 3 2 5
250024 Àger 84 2 2 4
250024 Àger 85 3 3 6
250024 Àger 86 3 7 10
250024 Àger 87 5 2 7
250024 Àger 88 1 2 3
250024 Àger 89 0 6 6
250024 Àger 90 1 3 4
250024 Àger 91 0 0 0
250024 Àger 92 0 2 2
250024 Àger 93 1 4 5
250024 Àger 94 1 1 2
250024 Àger 95 1 0 1
250024 Àger 96 0 0 0
250024 Àger 97 0 1 1
250024 Àger 98 0 0 0
250024 Àger 99 0 0 0
250024 Àger 100 0 1 1
250030 Agramunt 0 20 35 55
250030 Agramunt 1 24 19 43
250030 Agramunt 2 23 18 41
250030 Agramunt 3 26 30 56
250030 Agramunt 4 35 31 66
250030 Agramunt 5 34 27 61
250030 Agramunt 6 31 37 68
250030 Agramunt 7 39 30 69
250030 Agramunt 8 25 36 61
250030 Agramunt 9 27 36 63
250030 Agramunt 10 26 22 48
250030 Agramunt 11 31 26 57
250030 Agramunt 12 23 34 57
250030 Agramunt 13 36 24 60
250030 Agramunt 14 29 19 48
250030 Agramunt 15 26 21 47
250030 Agramunt 16 26 41 67
250030 Agramunt 17 24 22 46
250030 Agramunt 18 25 20 45
250030 Agramunt 19 29 26 55
250030 Agramunt 20 23 26 49
250030 Agramunt 21 31 28 59
250030 Agramunt 22 31 24 55
250030 Agramunt 23 33 31 64
250030 Agramunt 24 28 22 50
250030 Agramunt 25 32 34 66
250030 Agramunt 26 22 33 55
250030 Agramunt 27 28 32 60
250030 Agramunt 28 40 27 67
250030 Agramunt 29 27 28 55
250030 Agramunt 30 24 30 54
250030 Agramunt 31 29 25 54
250030 Agramunt 32 33 34 67
250030 Agramunt 33 30 34 64
250030 Agramunt 34 39 28 67
250030 Agramunt 35 32 43 75
250030 Agramunt 36 48 36 84
250030 Agramunt 37 44 43 87
250030 Agramunt 38 46 41 87
250030 Agramunt 39 68 41 109
250030 Agramunt 40 51 28 79
250030 Agramunt 41 37 35 72
250030 Agramunt 42 46 38 84
250030 Agramunt 43 43 42 85
250030 Agramunt 44 50 38 88
250030 Agramunt 45 41 47 88
250030 Agramunt 46 28 53 81
250030 Agramunt 47 50 43 93
250030 Agramunt 48 46 39 85
250030 Agramunt 49 53 33 86
250030 Agramunt 50 47 35 82
250030 Agramunt 51 40 43 83
250030 Agramunt 52 57 40 97
250030 Agramunt 53 50 34 84
250030 Agramunt 54 35 39 74
250030 Agramunt 55 38 39 77
250030 Agramunt 56 38 45 83
250030 Agramunt 57 36 37 73
250030 Agramunt 58 38 35 73
250030 Agramunt 59 29 30 59
250030 Agramunt 60 28 31 59
250030 Agramunt 61 29 29 58
250030 Agramunt 62 33 30 63
250030 Agramunt 63 26 36 62
250030 Agramunt 64 30 34 64
250030 Agramunt 65 35 22 57
250030 Agramunt 66 27 30 57
250030 Agramunt 67 29 23 52
250030 Agramunt 68 18 20 38
250030 Agramunt 69 19 20 39
250030 Agramunt 70 17 17 34
250030 Agramunt 71 25 21 46
250030 Agramunt 72 16 15 31
250030 Agramunt 73 17 27 44
250030 Agramunt 74 20 25 45
250030 Agramunt 75 13 13 26
250030 Agramunt 76 15 25 40
250030 Agramunt 77 11 15 26
250030 Agramunt 78 15 20 35
250030 Agramunt 79 18 19 37
250030 Agramunt 80 18 14 32
250030 Agramunt 81 18 23 41
250030 Agramunt 82 13 31 44
250030 Agramunt 83 18 31 49
250030 Agramunt 84 13 18 31
250030 Agramunt 85 17 12 29
250030 Agramunt 86 13 16 29
250030 Agramunt 87 12 17 29
250030 Agramunt 88 11 18 29
250030 Agramunt 89 10 21 31
250030 Agramunt 90 4 16 20
250030 Agramunt 91 4 17 21
250030 Agramunt 92 5 10 15
250030 Agramunt 93 3 3 6
250030 Agramunt 94 1 2 3
250030 Agramunt 95 1 3 4
250030 Agramunt 96 3 3 6
250030 Agramunt 97 1 3 4
250030 Agramunt 98 0 1 1
250030 Agramunt 99 0 1 1
250030 Agramunt 100 0 0 0
80023 Aguilar-de-Segarra 0 1 0 1
80023 Aguilar-de-Segarra 1 2 2 4
80023 Aguilar-de-Segarra 2 2 0 2
80023 Aguilar-de-Segarra 3 4 0 4
80023 Aguilar-de-Segarra 4 1 0 1
80023 Aguilar-de-Segarra 5 1 1 2
80023 Aguilar-de-Segarra 6 2 1 3
80023 Aguilar-de-Segarra 7 0 2 2
80023 Aguilar-de-Segarra 8 0 3 3
80023 Aguilar-de-Segarra 9 2 4 6
80023 Aguilar-de-Segarra 10 0 1 1
80023 Aguilar-de-Segarra 11 2 2 4
80023 Aguilar-de-Segarra 12 0 2 2
80023 Aguilar-de-Segarra 13 1 0 1
80023 Aguilar-de-Segarra 14 2 2 4
80023 Aguilar-de-Segarra 15 1 2 3
80023 Aguilar-de-Segarra 16 3 1 4
80023 Aguilar-de-Segarra 17 1 0 1
80023 Aguilar-de-Segarra 18 0 2 2
80023 Aguilar-de-Segarra 19 0 0 0
80023 Aguilar-de-Segarra 20 2 0 2
80023 Aguilar-de-Segarra 21 1 1 2
80023 Aguilar-de-Segarra 22 1 2 3
80023 Aguilar-de-Segarra 23 1 1 2
80023 Aguilar-de-Segarra 24 1 0 1
80023 Aguilar-de-Segarra 25 3 2 5
80023 Aguilar-de-Segarra 26 0 1 1
80023 Aguilar-de-Segarra 27 1 0 1
80023 Aguilar-de-Segarra 28 1 0 1
80023 Aguilar-de-Segarra 29 0 2 2
80023 Aguilar-de-Segarra 30 1 1 2
80023 Aguilar-de-Segarra 31 1 5 6
80023 Aguilar-de-Segarra 32 2 2 4
80023 Aguilar-de-Segarra 33 0 3 3
80023 Aguilar-de-Segarra 34 0 1 1
80023 Aguilar-de-Segarra 35 3 1 4
80023 Aguilar-de-Segarra 36 1 2 3
80023 Aguilar-de-Segarra 37 0 0 0
80023 Aguilar-de-Segarra 38 3 2 5
80023 Aguilar-de-Segarra 39 0 2 2
80023 Aguilar-de-Segarra 40 2 1 3
80023 Aguilar-de-Segarra 41 2 2 4
80023 Aguilar-de-Segarra 42 2 2 4
80023 Aguilar-de-Segarra 43 2 2 4
80023 Aguilar-de-Segarra 44 3 1 4
80023 Aguilar-de-Segarra 45 2 1 3
80023 Aguilar-de-Segarra 46 6 2 8
80023 Aguilar-de-Segarra 47 3 3 6
80023 Aguilar-de-Segarra 48 4 0 4
80023 Aguilar-de-Segarra 49 2 2 4
80023 Aguilar-de-Segarra 50 1 3 4
80023 Aguilar-de-Segarra 51 4 3 7
80023 Aguilar-de-Segarra 52 3 3 6
80023 Aguilar-de-Segarra 53 5 1 6
80023 Aguilar-de-Segarra 54 4 3 7
80023 Aguilar-de-Segarra 55 1 0 1
80023 Aguilar-de-Segarra 56 1 1 2
80023 Aguilar-de-Segarra 57 2 2 4
80023 Aguilar-de-Segarra 58 2 5 7
80023 Aguilar-de-Segarra 59 1 3 4
80023 Aguilar-de-Segarra 60 2 0 2
80023 Aguilar-de-Segarra 61 4 2 6
80023 Aguilar-de-Segarra 62 2 0 2
80023 Aguilar-de-Segarra 63 1 0 1
80023 Aguilar-de-Segarra 64 2 1 3
80023 Aguilar-de-Segarra 65 0 1 1
80023 Aguilar-de-Segarra 66 5 0 5
80023 Aguilar-de-Segarra 67 0 1 1
80023 Aguilar-de-Segarra 68 1 2 3
80023 Aguilar-de-Segarra 69 2 2 4
80023 Aguilar-de-Segarra 70 2 0 2
80023 Aguilar-de-Segarra 71 2 0 2
80023 Aguilar-de-Segarra 72 3 0 3
80023 Aguilar-de-Segarra 73 3 1 4
80023 Aguilar-de-Segarra 74 0 1 1
80023 Aguilar-de-Segarra 75 0 1 1
80023 Aguilar-de-Segarra 76 0 0 0
80023 Aguilar-de-Segarra 77 2 0 2
80023 Aguilar-de-Segarra 78 2 2 4
80023 Aguilar-de-Segarra 79 0 1 1
80023 Aguilar-de-Segarra 80 2 1 3
80023 Aguilar-de-Segarra 81 2 2 4
80023 Aguilar-de-Segarra 82 1 2 3
80023 Aguilar-de-Segarra 83 1 1 2
80023 Aguilar-de-Segarra 84 0 0 0
80023 Aguilar-de-Segarra 85 0 1 1
80023 Aguilar-de-Segarra 86 0 1 1
80023 Aguilar-de-Segarra 87 0 2 2
80023 Aguilar-de-Segarra 88 1 0 1
80023 Aguilar-de-Segarra 89 1 0 1
80023 Aguilar-de-Segarra 90 0 1 1
